id,credits,gpa,school,score,interview
1757,15,3.55,CMNS,3.5,1
1760,15,4,CMNS,4,1
1761,15,3.45,Clark,4.5,1
1762,18,3.4,Clark,4.5,1
1763,19,3.38,Smith,2.5,0
1765,20,3.96,CMNS,3,1
1766,18,4,Clark,4,1
1768,17,3.37,Clark,3,0
1769,16,0,Clark,4.5,1
1770,16,3.89,Smith,4,1
1771,17,4,Clark,4,1
1773,15,0,CMNS,4.5,1
1776,17,3.82,Clark,3.5,1
1777,16,4,Smith,4.5,1
1778,16,3.68,Smith,1.5,0
1779,15,4,CMNS,4.5,1
1780,15,3.5,Smith,2.5,0
1782,16,3.76,Clark,4.5,1
1783,16,3.68,Smith,3,1
1784,15,3.94,Clark,3.5,1
1787,15,3.62,Smith,4,1
1789,15,3.66,Smith,3.5,1
1791,16,3.79,Clark,2.5,0
1794,15,4,Clark,3.5,1
1796,15,4,Clark,3,1
1797,16,3.08,Smith,4.5,1
1798,15,3.74,Smith,2,0
1799,60,3.93,CMNS,4.5,1
1801,16,3.83,Smith,3,1
1802,14,4,Clark,4.5,1
1803,17,3.95,CMNS,5,1
1805,15,3.59,Clark,4.5,1
1807,15,4,CMNS,5,1
1809,16,3.63,Smith,3.5,1
1810,16,3.57,CMNS,3.5,1
1812,15,4,Clark,3.5,1
1814,16,3.92,Clark,0,1
1816,16,3.5,CMNS,4,1
1818,18,4,CMNS,5,1
1819,34,3.43,CMNS,3.5,1
1820,17,4,Clark,5,1
1821,45,3.92,Clark,4,1
1823,54,3.67,CMNS,3.5,1
1825,14,3.5,CMNS,2,0
1826,15,3,Clark,4.5,1
1828,14,3.46,Clark,3,1
1831,16,4,CMNS,4,1
1837,15,3.94,CMNS,4,1
1844,13,3.84,Smith,4,1
1846,15,4,CMNS,3,0
1847,47,3.21,CMNS,2.5,0
1853,15,3.07,Smith,2,0
1854,15,3.57,CMNS,3.5,1
1855,18,3.95,Smith,5,1
1857,17,4,CMNS,2.5,1
1858,15,3.46,Smith,4.5,1
1860,13,4,Smith,4,1
1864,17,3.58,CMNS,3.5,0
1865,19,3.94,Smith,4,1
1866,15,3.51,CMNS,4,1
1869,14,3.73,Smith,3.5,1
1870,14,3.15,Clark,4.5,1
1873,17,4,Clark,2,1
1875,22,3.4,Smith,3,0
1877,15,3.35,Clark,3,1
1878,15,3.98,Clark,5,1
1880,17,3.6,CMNS,3.5,1
1885,15,4,Smith,3,1
1886,14,4,CMNS,3.5,1
1888,17,4,CMNS,2.5,0
1889,14,3.72,Smith,3,1
1893,15,3.59,CMNS,2.5,0
1897,16,3.88,Smith,3,1
1898,15,3.4,Smith,4,1
1899,16,3.51,Smith,3.5,1
1901,16,3.55,Smith,3.5,0
1904,16,3,Clark,4.5,1
1905,16,3.78,Smith,4,1
1906,16,4,Smith,3,1
1909,40,3.8,Clark,3.5,0
1912,15,3.63,Clark,3,0
1913,17,3.59,CMNS,4.5,1
1914,16,3.76,Smith,4,1
1915,15,3.94,Smith,4,1
1917,53,3.68,Smith,3,1
1918,19,3.84,Smith,3,0
1919,14,3.8,Clark,3,0
1920,16,4,Smith,4.5,1
1921,15,3.62,Smith,3,1
1922,0,0,Smith,2.5,0
1924,16,3.5,Smith,1.5,0
1925,14,3.34,CMNS,3,1
1926,17,4,Smith,4,1
1927,19,4,Smith,4.5,1
1928,15,3.12,Smith,2.5,0
1929,15,3.76,Smith,3,0
1931,18,3.96,Clark,3.5,1
1932,0,3.85,CMNS,3.5,1
1933,16,3.7,Smith,2.5,1
1935,41,3.79,Smith,2.5,0
1937,16,3.76,Smith,4.5,1
1938,15,3.92,CMNS,4,1
1939,16,3.44,CMNS,3,1
1940,15,3.8,CMNS,3.5,1
1941,16,3.89,Smith,4.5,1
1942,15,3.33,Clark,3.5,1
1943,17,3.93,Clark,3.5,1
1946,16,3.89,Smith,4.5,1
1947,12,3.01,CMNS,2.5,0
1948,17,3.7,Smith,3,1
1949,34,3.86,CMNS,4,1
1950,16,3.89,Smith,2.5,1
1951,14,3.91,CMNS,3,1
1952,15,4,Clark,3.5,0
1953,16,4,Smith,4,1
1954,16,3.7,Smith,3,1
1955,15,3.86,Clark,3.5,1
1956,16,4,Smith,4,1
1965,15,3.53,Clark,4,1
1969,15,3.56,Clark,5,1
1974,18,3.38,Smith,1.5,0
1975,16,3.4,Smith,3,0
1976,17,3.53,CMNS,4.5,1
1977,16,3.28,Clark,2.5,0
1978,47,3.51,Clark,3,1
1979,17,3.82,Clark,2.666666667,0
1980,17,3.66,CMNS,2.5,0
1985,17,4,Clark,4.5,1
1986,22,3.68,Smith,2,0
1988,17,3.85,Clark,5,1
1989,47,3.53,Clark,4.5,1
1991,16,3.94,Smith,3,0
1992,41,3.42,Smith,4.5,1
1994,16,4,Smith,4,1
1995,17,3.54,Smith,2.5,1
1996,16,3.2,CMNS,3.5,1
2003,14,3.93,CMNS,2.5,0
2006,18,3.27,CMNS,2.5,0
2010,17,3.95,Clark,3.5,0
2013,15,3.6,CMNS,4,1
2015,15,3.8,Smith,3,1
2017,17,4,CMNS,2,0
2026,17,3.4,CMNS,4,1
2030,15,4,CMNS,3.5,1
2034,15,3.74,Smith,3.5,0
2035,20,3.59,CMNS,2.5,0
2037,19,3.39,CMNS,3.5,1
2039,15,3.87,CMNS,3,1
2040,12,3.65,Smith,2,0
2041,28,3.08,Smith,2.5,0
2042,19,3.47,CMNS,3,1
2045,16,3.25,Smith,2.5,0
2047,15,3.67,Clark,4,1
2051,25,3.57,Smith,2,0
2053,15,3.47,CMNS,2.5,0
2060,24,3.62,CMNS,5,1
2061,14,3.04,CMNS,3,0
2065,15,2.96,Clark,3,0
2066,15,3.88,CMNS,3,1
2068,15,3.74,Clark,4.5,1
2069,14,4,CMNS,1.5,0
2071,14,4,Clark,1.5,0
2073,18,3.71,Clark,2.5,0
2074,13,3.86,Smith,3.5,1
2076,15,3.1,Smith,3.5,1
2078,14,3.2,Clark,3.5,1
2079,16,3.3,Smith,2.5,0
2083,14,2.65,Clark,3.5,1
2085,17,4,CMNS,4.5,1
2086,46,4,Smith,4,1
2087,34,3.76,CMNS,4,1
2090,25,3.38,Smith,2,0
2093,15,3.9,Smith,3.5,0
2095,15,3.28,Smith,4.5,1
2097,39,4,Clark,3.5,1
2098,17,4,Clark,4,1
2106,26,3.87,Smith,3.5,1
2109,16,3.51,Smith,3,1
2112,20,3.81,Clark,3,0
2117,15,3.38,CMNS,1.5,0
2118,14,3.29,CMNS,4.5,1
2119,16,3.88,Smith,3,1
2124,17,3.23,Smith,3.5,0
2126,35,3.09,Clark,3,1
2131,38,3.76,Smith,3.5,1
2139,16,3.27,Smith,4,1
2144,13,3.84,Clark,2.5,0
2147,23,3.76,CMNS,3.5,0
2148,17,3.65,Clark,3,0
2150,16,2.71,Clark,3,1
2151,16,3.74,CMNS,1.5,0
2153,15,3.81,Clark,3.5,1
2154,44,3.75,CMNS,3.5,1
2155,14,3.92,CMNS,3.5,1
2156,14,3.85,CMNS,3.5,0
2158,16,3.16,CMNS,3,0
2160,13,3.4,Smith,4,1
2161,16,3.56,Smith,3,0
2162,15,4,CMNS,3,0
2165,15,3.82,Smith,3,0
2169,15,3.46,Clark,4,1
2171,14,3.64,Clark,3,0
2172,15,3.67,CMNS,2.5,0
2180,50,3.86,Clark,4,1
2188,16,3.88,Smith,2.5,0
2191,16,3.48,CMNS,2,0
2193,16,3.13,CMNS,2,1
2197,16,3.81,Smith,2,1
2198,50,3.75,Clark,3.5,1
2201,15,3.88,Smith,3.5,0
2203,15,3.52,Smith,2.5,0
2204,13,2.41,Smith,3,0
2208,16,3.83,Smith,2.5,0
2211,17,3.48,Smith,3.5,1
2213,15,3.74,Smith,2,0
2220,30,3.14,Smith,2.5,0
2221,13,3.7,Smith,3.5,0
2253,30,3.31,CMNS,3,1
2257,16,3.81,Smith,3,0
2264,16,3.18,Smith,4,1
2265,14,3.22,CMNS,3,0
2266,15,3.2,Smith,3,0
2268,16,3.65,CMNS,3.5,0
2271,14,3.7,CMNS,2,0
2273,16,3.25,Smith,4,1
2277,16,4,Smith,2.5,1